"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000002578",0,0,0,0,0,0
"ENSMUSG00000002580",974,1448,1288,1300,1041,1030
"ENSMUSG00000002588",0,0,1,0,0,0
"ENSMUSG00000002602",42,21,23,5,7,8
"ENSMUSG00000002603",5163,4806,5866,3867,5225,3686
"ENSMUSG00000002608",1273,1250,1226,1381,1401,1163
"ENSMUSG00000002617",5,4,6,59,80,86
"ENSMUSG00000002625",1296,1427,1133,1035,1099,993
"ENSMUSG00000002633",0,0,0,0,0,0
"ENSMUSG00000002635",639,664,541,440,428,380
"ENSMUSG00000002658",993,778,950,816,967,868
"ENSMUSG00000002660",479,493,500,484,484,428
"ENSMUSG00000002661",128,161,164,177,149,133
"ENSMUSG00000002664",1,0,0,0,0,1
"ENSMUSG00000002668",93,122,84,123,209,171
"ENSMUSG00000002679",218,174,185,461,355,399
"ENSMUSG00000002688",0,0,0,0,1,0
"ENSMUSG00000002699",2144,1865,1791,1550,1929,1731
"ENSMUSG00000002718",835,581,676,1957,1689,2008
"ENSMUSG00000002728",769,674,764,673,646,670
"ENSMUSG00000002731",1173,1054,1116,646,730,685
"ENSMUSG00000002732",268,470,325,202,187,182
"ENSMUSG00000002733",581,642,518,1441,1177,1398
"ENSMUSG00000002741",4103,3732,3825,3174,3367,3221
"ENSMUSG00000002748",1489,1122,1428,2479,2704,2686
"ENSMUSG00000002763",722,590,704,1350,1462,1202
"ENSMUSG00000002767",1107,1035,1060,748,871,683
"ENSMUSG00000002768",935,1299,995.76,1538.84,1129,1097.8
"ENSMUSG00000002769",2,0,0,3,3,0
"ENSMUSG00000002771",8,9,6,32,33,33
"ENSMUSG00000002778",5419,7105,5680,5786,3932,4394
"ENSMUSG00000002781",289,237,288,310,421,302
"ENSMUSG00000002791",1,1,1,0,0,0
"ENSMUSG00000002797",240,205,226,197,226,189
"ENSMUSG00000002799",407,330,419,503,832,590
"ENSMUSG00000002803",108,72,121,101,137,113
"ENSMUSG00000002804",412,402,417,311,410,308
"ENSMUSG00000002808",0,0,0,0,0,0
"ENSMUSG00000002812",3940,4242,4058,3738,4066,3631
